scenario,penetration_pct,seed,n_evs,hour,v_min,v_max,v_min_all,v_max_all,xfmr_pct,converged
base,40,1,1005,8,0.9845027433218392,1.0486350557338298,0.9784555893169151,1.0486350557338298,55.70014425263668,True
base,40,1,1005,9,0.9952335004089985,1.049259902147651,0.9830908528907125,1.049259902147651,47.60320461444551,True
base,40,1,1005,10,0.9957234005586325,1.0397013075790433,0.9866227291474238,1.0397013075790433,41.819443563837076,True
base,40,1,1005,11,0.9966529821691524,1.0411806669333443,0.987159604614286,1.0411806669333443,41.03290307640216,True
base,40,1,1005,12,0.9915281444388921,1.0379380366695594,0.9878688119893836,1.0379380366695594,40.81432321790256,True
base,40,1,1005,13,0.99245150468553,1.0387493053345511,0.9884021590856826,1.0387493053345511,40.03965321785177,True
base,40,1,1005,14,0.9933729777344587,1.0395572320825757,0.9889342367744933,1.0395572320825757,39.2684585296399,True
base,40,1,1005,15,0.9831208539658277,1.03996883157169,0.9806778557516068,1.03996883157169,52.87736995800423,True
base,40,1,1005,16,0.9775609627146915,1.0468878048225643,0.9711443749661474,1.0468878048225643,70.5447374086864,True
base,40,1,1005,17,0.972385755501831,1.0619918260084282,0.9544110548778952,1.0645769870415362,102.01851113268361,True
base,40,1,1005,18,0.9675539543067806,1.0614068448529472,0.9530579191546917,1.0639872044539054,108.84325200907563,True
base,40,1,1005,19,0.9743214264683805,1.0633088002862625,0.9557490052937819,1.0657434179130505,104.52654524645504,True
base,40,1,1005,20,0.9837735251296441,1.0574073092435055,0.9645539074059339,1.0593627035036808,89.35101355439318,True
base,40,1,1005,21,0.9918882463501635,1.0512490968823414,0.9727094315975261,1.052684896873574,74.72270700585403,True
base,40,1,1005,22,0.9914257892042921,1.0381186058038927,0.9798060098941715,1.0390684855998615,61.291751225920045,True
base,40,1,1005,23,0.9932663014055603,1.035380408267501,0.9859894177977967,1.035380408267501,49.93796250829327,True
base,40,2,1005,0,0.9846926730999352,1.0471466567252954,0.9846926730999352,1.0471466567252954,42.01243007579632,True
base,40,2,1005,1,0.9903071299182108,1.0476094337623534,0.9903071299182108,1.0476094337623534,37.53752760959079,True
base,40,2,1005,2,0.9943524106505324,1.047360633191552,0.9941762946136244,1.047360633191552,33.8514021038945,True
base,40,2,1005,3,0.9995213581740864,1.0462758890139654,0.9963447312929524,1.0462758890139654,29.537163186788728,True
base,40,2,1005,4,0.9957475293822939,1.0418620637702318,0.9945482049144101,1.0418620637702318,30.86401300621196,True
base,40,2,1005,5,0.9900061376999438,1.0378660244214968,0.9900061376999438,1.0378660244214968,34.49884935438342,True
base,40,2,1005,6,0.9856157423743206,1.0352819064556018,0.9856157423743206,1.0352819064556018,37.52028442308106,True
base,40,2,1005,7,0.985634917995828,1.0456829696163898,0.9844621011568061,1.0456829696163898,46.40953057918749,True
base,40,2,1005,8,0.9848196293204138,1.049032258024615,0.978504603802454,1.049032258024615,55.70031158775085,True
base,40,2,1005,9,0.9953887885109337,1.0494525876883878,0.9831138549538095,1.0494525876883878,47.603291855539695,True
base,40,2,1005,10,0.9957929165821479,1.0398904030407645,0.9866447406806644,1.0398904030407645,41.819538919195054,True
base,40,2,1005,11,0.9967222780106247,1.041369381328488,0.9871814772708198,1.041369381328488,41.032995196640016,True
base,40,2,1005,12,0.9916672238682102,1.0378400289402585,0.9879126150721234,1.0378400289402585,40.81450102260996,True
